sentence,label
"""Hvězda seriálu Orange Is the New Black (Oranžová je nová černá) Yael Stoneová se vzdává zelené karty a vrací se do rodné Austrálie, aby bojovala proti změně klimatu.",0
"""Máme jeden krásný zákon,"" řekl nedávno Trump svou charakteristicky bizarní syntaxí a dikcí a opakoval slovo ""krásný"".",1
"...imigranty jako zločince a eugeniku, což vše bylo kdysi považováno za okrajové a extrémní. Bílí nacionalisté se hlásí k bělošským separatistickým a supremacistickým názorům.",1
"...bili jsme na poplach v prvních měsících Trumpova prezidentství, když moderátor hlavního vysílacího času Fox News Tucker Carlson začal experimentovat se segmenty, které používaly eufemismy jako ""západní civilizace"", aby zabalily myšlenku, že běloši jsou ze své podstaty civilizovanější, zatímco barevní lidé jsou hrozbou pro národní stabilitu.",1
"[Black Lives Matter] je v podstatě nefalšovaný náboženský kult, který se staví specificky proti křesťanství, stejně jako to dělala Francouzská revoluce.",1
[Demokraté využívají] celý svůj arzenál k delegitimizaci Trumpova prezidentství za zjevný zločin vítězství ve volbách v roce 2016.,1
[Newsomsova] posedlost maskami vytvořila v našich čtvrtích a ulicích téměř nepřátelské prostředí.,1
"Nápor [Newsomsovy] propagandy ignoruje rozporuplné vědecké poznatky o nošení masek (některé studie naznačují, že může dokonce zvyšovat infekce) a očerňuje ty, kteří někdy opustí svůj dům s přáním dýchat nerušeně kyslík, když jdou sami po chodníku.",1
"[Policie] o sobě nyní raději přemýšlí jako o oslavovaných sociálních pracovnících, kteří mají léčit rány rozvrácené společnosti tím, že předvádějí své skateboardové dovednosti na protestech Extinction Rebellion a nasazují si make-up a duhové šňůrky, aby trapně skotačili na festivalech Gay Pride.",1
"""Nové dno"": Tohle je nový rekord: mediální kritik Washington Postu rozmetal absurdní lži Tuckera Carlsona o bílém nacionalismu.",1
'Gangsterský kapitalista' Trump řídí 'mafiánský stát' - a bude hůř: Novinář oceněný Pulitzerovou cenou,1
'Nejpokrokovější prezident od dob FDR': Bidenovy politické návrhy odhalují příjemné překvapení,0
"'Woke' není sprosté slovo, ale morální povinnost, říká vysoce postavený redaktor BBC a obhajuje rozhodnutí korporace ""přetvářet"" klasické romány tím, že do nich dává více černošských, ženských a asijských postav, i když je to historicky nepřesné.",0
"Autorka ""Harryho Pottera"" J. K. Rowlingová v pondělí uvedla, že se po dvou týdnech nemoci zotavila z podezření na COVID-19. V pondělí se jí podařilo vyléčit se z nemoci.",0
"""Vyhrál, protože volby byly zmanipulované,"" napsal Trump, aniž by Bidena jmenovitě zmínil, a přidal seznam stížností na sčítání hlasů.",0
"""Uzavřel bych to, poslechl bych vědce,"" řekl Biden v rozhovoru pro ABC News po boku své nové viceprezidentské kandidátky, kalifornské senátorky Kamaly Harrisové.",0
"""Mike Pence a pracovní skupina odvedli skvělou práci,"" řekl Trump během návštěvy továrny na masky v Arizoně.",0
"""Zdědí vládu v krizi,"" stojí v příspěvku, který se ohání množstvím nepravdivých narativů, jež běžně šíří Trumpovi kritici.",1
"""Cílem je vyslat poselství míru,"" tvrdí dvaadvacetiletý muž. Trval na tom, že původním záměrem bylo ukázat muže, který krade levné zboží, a zobrazit podobný scénář jako při smrti George Floyda, s policistou na krku zloděje.",0
"""Nemůžeme nechat naši zemi dalších pět let zavřenou,"" odpověděl Trump na otázku, proč je čas ukončit činnost pracovní skupiny.",0
"""Víte, existuje více než 100 milionů lidí s preexistujícími podmínkami,"" řekl a tvrdil: ""Dříve nemohli získat pojištění, nyní jim nemůže být pojištění odepřeno.""",1
Na nedělních demonstracích Antify a hnutí Black Lives Matter v Londýně bylo zatčeno 23 lidí za přestupky včetně napadení policistů.,0
"Desetihodinové slyšení přenášené na internetových stránkách soudu ukázalo, že Sun, nejlepší čínský plavec všech dob a jedna z největších sportovních hvězd, byl při výslechu, který ztěžovaly vážné problémy s překladem mezi čínštinou a angličtinou, občas vyhýbavý.",0
"Pětatřicetiletý James, šestnáctinásobný účastník NBA, který je považován za jednoho z nejlepších basketbalistů všech dob, tento týden rozzlobeně reagoval na střelbu na Blakea v Kenoshe ve Wisconsinu, která vyvolala několikadenní občanské nepokoje.",0
"Čtyřiadvacetiletou ženu v Ugandě, která nemohla cestovat kvůli omezením spojeným s koronavirem, upálil její muslimský otec za to, že údajně konvertovala ke křesťanství, uvedla skupina pro sledování pronásledování.",0
"Šedesátimetrový kus zařízení Ocean Cleanup, které bylo v říjnu s velkými fanfárami nasazeno ve Velké tichomořské odpadkové skvrně, se odlomil a celý systém sběru plastů bude nyní odtažen zpět do přístavu, kde bude provedena jeho generální oprava a modernizace.",0
"Podle Pew Research Center se 70 % Američanů domnívá, že ekonomika nespravedlivě zvýhodňuje ty, kteří mají moc, a velká většina také tvrdí, že politici, obří korporace a bohatí jednotlivci mají nad ekonomikou příliš velkou moc.",0
Bidenovo vítězství by bylo vítězstvím radikálního antiamerikanismu.,1
"Bidenovo vítězství by bylo vítězstvím násilí v ulicích, které by bylo posíleno protipolicejním a prokriminálním postojem.",1
"Bidenovo vítězství by zajistilo vládou vnucené myšlenkové policejní kurzy, které jsou zaměřené proti historii, svobodnému myšlení, bělochům a mužům.",1
"Bidenovo vítězství by znamenalo masivní zvýšení daní, které by Ameriku uvrhlo do deprese.",1
"Návrh zákona, který ve středu předložila skupina republikánských zákonodárců a který by změnil zákon o občanských právech v Iowě tak, že by zrušil ochranu proti diskriminaci transsexuálů, je mrtvý.",0
"Dvoustranická skupina zákonodárců v Mississippi začala tento týden připravovat návrh rezoluce o změně státní vlajky, protože podle zprávy sílí volání po odstranění bojového znaku Konfederace.",0
"Černoch postřelený policií do zad ve wisconsinském městě Kenosha zůstal ochrnutý a ""bojuje o život"", uvedla jeho rodina a právníci v úterý, několik hodin předtím, než se v tomto městě na břehu jezera střetli demonstranti a úřady, což byl třetí večer občanských nepokojů.",0
"Černocha, který byl zastaven na kole kvůli údajnému porušení ""dopravních předpisů"", zastřelili dva zástupci losangeleského šerifa, kteří vystřelili 15 až 20 ran poté, co muž udeřil jednoho z policistů a upustil pistoli na zem, uvedly v úterý úřady.",0
"Černoch Floyd zemřel 25. května v policejní vazbě poté, co mu policista z Minneapolisu více než osm minut klečel na krku.",0
"Při celodenních demonstracích na podporu volebních bludů prezidenta Donalda Trumpa, které v sobotu večer ve Washingtonu skončily násilím, byla zraněna černošská policistka a nejméně čtyři lidé byli pobodáni.",0
"Středeční odvážné prohlášení bývalého ministra obrany generála Jamese Mattise, v němž vykuchal Donalda Trumpa, dopadlo na republikánskou frakci v Senátu jako bomba a její členové se rozprchli na všechny strany.",1
"Katolický kněz z Rhode Islandu, který zakázal státním zákonodárcům podporujícím zákon o právu na potrat přijímat v jeho kostele, zdvojnásobil svůj postoj a prohlásil, že potraty jsou horší než pedofilie.",0
"Člen městské rady v Minneapolisu se nechal slyšet, že během první noci protestu nedošlo k žádnému rabování ani pálení a že za následné události může policie, protože reagovala ""neuvěřitelně brutálně"".",1
"Kodex, který zařadí na černou listinu filmů, které nesplňují jakékoliv orwellovské požadavky na diverzitu, se blíží.",1
Policista zastřelil černocha a policejní odbory napínají svaly.,1
"Kopie letáku také ukazuje, že odboroví bossové výrazně podporují masovou nelegální i legální imigraci do Spojených států - snahu zvýšit počet členů odborů.",1
"Zběžná rešerše na Twitteru ukazuje, že na této platformě lze snadno najít účty podporující teroristické hnutí Antifa.",1
"V pondělí začal Národní sjezd Demokratické strany jako žádný jiný, na němž politici vyměnili bouřlivý jásot v přeplněné aréně za projevy pronášené z tichých míst po celé zemi kvůli pandemii koronaviru.",1
"Různorodá skupina protestujících jásala při hiphopové hudbě a snažila se dohadovat o policejní brutalitě s policisty v těžkooděncích, kteří se občas vrhali do davu, aby vytrhli lidi k zatčení po hozených lahvích a jiných projektilech.",1
"Rozdělený federální odvolací soud v úterý zamítl ústavní stížnost organizace Planned Parenthood proti ohijskému zákonu, který ji zbavuje státního financování, protože provádí potraty, a přisoudil tak vítězství zastáncům potratů.",0
"Denverský řetězec jógy založený na dárcovství, který pořádal speciální lekce pro menšiny a LGBT, byl nucen ukončit činnost poté, co se komunitní aktivisté společnosti vysmáli jako instituci bílé nadřazenosti.",1
"Za pěti největšími skupinami na Facebooku, které se věnují protestům proti omezením týkajícím se přístřeší na místě, stojí podle analýzy skupin na Facebooku a informací o registraci na webových stránkách, kterou provedla televize NBC News, rodinná síť podporující zbraně.",0
"Federální soudce v pátek zamítl žalobu ženského fotbalového týmu Spojených států amerických na rovné odměňování a odmítl tvrzení, že hráčky byly nedostatečně odměňovány, čímž úřadující mistryně světa utrpěly drtivou porážku.",0
Federální soudkyně v arizonském Tucsonu zasadila v pondělí ránu strategii Trumpovy administrativy kriminalizovat humanitární pomoc na jižní hranici svým rozhodnutím zrušit odsouzení čtyř dobrovolníků z důvodu náboženské svobody.,1
Federální soudce v pondělí zrušil souhlas Trumpovy administrativy s plánem státu New Hampshire zavést pracovní požadavky na osoby usilující o získání dávek z programu zdravotního pojištění Medicaid.,0
"Federální soudce ve středu dočasně zablokoval nařízení Trumpovy administrativy, které umožňovalo státním a místním samosprávám odmítat přesídlování uprchlíků, a shledal, že tato politika je pravděpodobně ""nezákonná"".",0
Federální vízový program umožňující zahraničním studentům pracovat po ukončení studia ve firmách ve Spojených státech byl podle vyšetřování NBC News/NBC Bay Area zřejmě zneužit falešnými společnostmi poskytujícími falešné ověření zaměstnání.,0
"Podle Národního centra pro transgenderovou rovnost (National Center for Transgender Equality) pětina amerických transsexuálů uvedla, že byli při hledání bydlení diskriminováni, a více než jeden z deseti uvedl, že byl vystěhován kvůli tomu, že je transsexuál.",0
"V noci na dnešek byl při boji s australskou požární krizí zabit padajícím stromem hasič a premiér v neděli prohlásil, že jeho vláda se přizpůsobuje a buduje odolnost vůči nebezpečí požárů, které představují klimatické změny.",0
"Bývalý indonéský policejní brigádník podal stížnost ke komisi pro lidská práva, v níž tvrdí, že byl propuštěn kvůli tomu, že je gay, uvedli v pondělí jeho právníci, což by mohl být testovací případ diskriminace v této jihovýchodní asijské zemi.",0
"Bývalý severokorejský diplomat, který v sobotu zinscenoval prominentní přeběhnutí na jih, vyzval svého starého kolegu, který se ztratil v Itálii, aby přeběhl do Soulu v návaznosti na zprávu, že žádá o azyl ve Spojených státech.",0
"Pohřeb bangladéšského náboženského vůdce přilákal asi 100 000 lidí, kteří se vzepřeli celostátní koronavirózní výluce.",0
"Žactvo představitelů teologicky liberálních denominací nedávno vydalo prohlášení proti křesťanskému nacionalismu v Americe s tím, že ohrožuje jak americkou demokracii, tak schopnost našich náboženských komunit žít v míru.",0
"Průzkum veřejného mínění provedený agenturou Gallup uvádí, že ženy stále častěji perou prádlo, uklízejí domácnost, nakupují potraviny, připravují jídlo, myjí nádobí a rozhodují o nábytku a dekoracích - a to i mezi mladšími generacemi, které jsou údajně rovnostářštější než kdykoli předtím.",0
"Skupina homosexuálů tvrdí, že Facebook zrušil její stránku poté, co ji transgenderoví aktivisté opakovaně nahlásili kvůli jejímu postoji k pohlaví a sexuální orientaci.",0
"Dobrým závěrem by mohlo být, že dobročinnost horních 0,1 procenta i korporací je značně přehnaná a není ani zlomkově tak užitečná jako prosté zdanění stejnou efektivní sazbou, jakou platíme my ostatní, takže bychom se do toho možná už měli pustit.",1
"Skupina dvaceti bohatých osob - včetně levicového finančníka George Sorose - podepsala v pondělí dopis, v němž prosí o zavedení daně z bohatství a tvrdí, že USA mají ""morální, etickou a ekonomickou odpovědnost"" za vyšší zdanění bohatých osob.",0
"Skupina umělců tento týden vylezla po žebřících na jednu z mnoha stěn, které se táhnou afghánským hlavním městem Kábulem, aby namalovala nástěnnou malbu George Floyda na znamení solidarity s protirasistickými protesty, které vyvolala jeho smrt v policejní vazbě.",0
"Skupina republikánů ze Sněmovny reprezentantů se v úterý sešla na Kapitolu, aby vyjádřila svůj hněv nad dvěma zákony navrženými jejich demokratickými kolegy, které by v případě schválení drasticky zpřísnily federální zákony o zbraních.",0
"Skupina idažských politiků, včetně viceguvernérky Janice McGeachinové, vystoupila v říjnu na videu, v němž vyzývala stát k omezení restrikcí. McGeachinová seděla v nákladním autě s americkou vlajkou přehozenou přes bok a nad Bibli položila zbraň.",0
"Skupina muslimských žen zažalovala město New York poté, co uvedla, že byly po zatčení nuceny sundat si hidžáby a nechat se fotografovat s odkrytou hlavou a vlasy.",0
