sentence,label
"Mike Huckabee, baptistický duchovní, který se stal guvernérem Arkansasu, v úterý oznámil, že se bude ucházet o republikánskou prezidentskou nominaci v roce 2016.",0
Huckabee to oznámil ve svém rodném městě Hope ve státě Arkansas.,0
"""Jsem kandidátem na prezidenta Spojených států amerických,"" řekl.",0
"Během svého oznámení Huckabee uvedl, že ""zvítězí nad džihádismem"" a bude chránit sociální zabezpečení.",0
Kritizoval také Nejvyšší soud za možné zrušení zákazů manželství osob stejného pohlaví.,0
"Řekl také, že je pro omezení funkčního období osob ve všech složkách federální vlády - včetně soudnictví.",0
"""Nejvyšší soud není nejvyšší bytostí,"" řekl.",0
"Devětapadesátiletý Huckabee v lednu ukončil svou práci moderátora vlastního pořadu ""Huckabee"" na stanici Fox News.",0
Minulý měsíc začal plánovat strategii kampaně a najímat personál.,0
Huckabee kandidoval na prezidenta v roce 2008.,0
"V roce 2016 se připojí k již přeplněnému poli republikánů a pravděpodobně získá podporu krajně pravicového křídla strany, kde mu bude konkurovat senátor Ted Cruz (R-Texas), který se staví do pozice favorita čajové strany.",1
"Huckabee minulý měsíc v pořadu ""Face the Nation"" na stanici CBS řekl, že je přesvědčen, že dokáže rozšířit svůj apel i mimo evangelikální křesťany a sociální konzervativce a oslovit republikány z dělnické třídy, kteří mají obavy o ekonomiku.",0
"""V Republikánské straně panuje skutečný pocit, že nikdo nemluví nejen k nim, ale ani za ně,"" řekl tehdy Huckabee.",0
"""A pokud někdo dokáže zaujmout jak modré límečky, dělnické republikány, konzervativce, z nichž mnozí jsou dokonce členy odborů, tak i evangelikály, je tu reálná cesta k nominaci.""",0
"Huckabee, vysvěcený jižanský baptistický duchovní, je mezi evangelikálními křesťany oslavovanou osobností.",0
"Byl nejdéle sloužícím guvernérem Arkansasu, a to v letech 1996-2007.",0
"V letech 2003 až 2006 se dostal na titulní stránky celostátních novin, když zhubl více než 110 kilogramů, a veřejně se zabýval svým bojem s váhou.",0
"Jeho kniha ""Přestaň si kopat hrob nožem a vidličkou"" se stala bestsellerem a jako guvernér učinil z obezity jednu z hlavních politických iniciativ.",0
"V roce 2008 se ucházel o prezidentskou nominaci GOP, získal silnou podporu evangelikálních křesťanů a vyhrál volební shromáždění v Iowě.",0
Většinu následujících primárek však vyhrál senátor John McCain (R-Ariz.) a Huckabee v březnu tohoto roku z boje odstoupil.,0
"Jeho příznivci očekávali, že bude v roce 2012 znovu kandidovat, ale on to odmítl.",0
Od té doby nadále ovlivňoval konzervativní hnutí jako charismatický řečník a rozhlasový a televizní moderátor.,1
Huckabeeho náboženství hrálo v jeho politické kariéře významnou roli a formovalo ho jako přesvědčeného sociálního konzervativce.,0
"Ve svých pamětech ""Z naděje na vyšší půdu"" napsal, že jeho práce pastora mu pomáhá pochopit, jak politika a politika ovlivňují lidi.",0
