sentence,label
"Friedrich Spee von Langenfeld (25. února 1591 v Kaiserswerthu u Düsseldorfu – 7. srpna 1635 v Trevíru) byl německý jezuita, významný duchovní lyrik raného baroka, duchovní spisovatel a morální teolog, který rozhodujícím způsobem přispěl k ukončení honů na čarodějnice.",1
Detonace zbraně byla ekvivalentní výbuchu 20 kilotun TNT a je považována za začátek atomového věku.,1
"Vladimír Forst, CSc., (13. července 1921 Praha – 28. července 2010 Vlašim) byl český literární historik, kritik, lexikograf a vedoucí redaktor Lexikonu české literatury.",0
"Je to federace složená ze 7 autonomních emirátů: Abú Dhabí, Adžmán, Dubaj, Fudžajra, Umm al-Kuvajn a Šardžá.",1
Lauri Einari Kettunen (10. září 1885 Joroinen – 26. února 1963 Helsinky) byl finský badatel v oblasti finských nářečí a baltofinských jazyků.,0
Korsika se může pyšnit místem narození Napoleona Bonaparte a nedotčenou krajinou a množstvím ledovcových jezer.,1
"V parlamentních volbách roku 2017 poprvé vstoupila do Poslanecké sněmovny, kde se se ziskem 22  ze 200 křesel stala třetí nejsilnější stranou.",1
"V rámci své umělecké kariéry cestoval po světě a žil ve více než 25 zemích; usadil se v Hongkongu, kde také našel manželku Lixiu (jejím otcem je významný čínský sochař To Šui Ming).",1
"Pane kolego, WP:NPOV řeší proporcionalitu zastoupení pohledů, to neznamená, že když bude v článku o Černé černá, musí tam být i bílá a žlutá.",1
"Bohužel to mělo za následek, že v roce 1991 bylo spousta srbských obyvatel vyháněna ze svých území a terorizovaná chorvatských obyvatelstvem.",1
"Je vdaná, manžel Jaroslav Brož je brněnský advokát.",0
Ve finále proti němu ovšem stál miláček domácího publika a světová čtyřka Andy Murray.,1
"Během komunistického režimu hrála ve filmu, v televizi, spolupracovala s rozhlasem i dabingem.",0
Na zimních olympijských hrách v Soči v roce 2014 obsadila skvělé páté místo v disciplíně slopestyle .,1
"Luitzen Egbertus Jan Brouwer (27.února 1881 - 2.prosince 1966), často také uváděný jako L.E.J.Brouwer nebo Jan Brouwer, byl nizozemský matematik a filosof pracující zejména v oborech teorie množin, topologie a komplexní analýzy.",0
"Svoji fotbalovou kariéru začal tento talentovaný útočník v rodném Tauro F.C., odkud se přes Juventud Retalteca dostal v roce 2011 do Chorrillo F.C., s nímž získal titul.Poté však přestal nastupovat a v zimě 2012 byl poslán na hostování do FK Senica.",1
Kvůli přehnané obavě ze zneuctění jména Božího Židé a většina křesťanských církví vlastní jméno Boží raději téměř vůbec nepoužívá jako výraz úcty vůči jménu Božímu a raději jej nahrazují náhradními výrazy.,1
"Brahmagupta (598 Bhinmal – 668 Udždžain) byl významný indický matematik a astronom, první, který užíval nulu a vyřešil množství matematických, astronomických a geometrických problémů.",1
"V roce 2008 se Věci veřejné účastnily voleb do Senátu, kde jejich dva kandidáti v pražských okrscích Praha 1 a Praha 5 nebyli zvoleni.",0
"Rudolf kníže Kinský z Vchynic a Tetova (30. března 1802 Praha – 27. ledna 1836 Linec) byl významný český šlechtic, vlastenec a rakouský diplomat.",1
Mistrovství světa v ledním hokeji 2012 bude 76. mistrovstvím světa a bude se hrát ve Švédsku a Finsku.,0
"Oranžová revoluce na konci roku 2004 přinesla obrat v ukrajinské politice; na rozdíl od spíše „proevropské“ západní části je však východ a v menší míře i jih kulturně a politicky orientován spíše na Rusko .V současné době je u moci vláda tvořená i neofašistickými, nacionalistickými stranami a organizacemi .",1
Don Angelo Pietra (1550 Moneglia – 1590 Monte Cassino) byl italský benediktinský mnich významný jako autor spisu Indirizzo degli Economi vydaného roku 1586 a popisujícího soudobé účetní metody.,1
"Po těchto filmech následovaly ještě irsko-anglicko-francouzský film „Inside I’m dancing” (Uvnitř tančím), “The snow goose” (Bílá husa) a televizní série “Mary Bryant”.",0
"Hirzo z Klingenbergu (†1275) – významný dvořan Přemysla Otakara II., lokátor města",1
Štěpán z Pálče (1370 – před 27. květnem 1423 Polsko ) byl český kněz a učenec konce 14. a začátku 15. století.,0
"Sám Óniši se stavěl proti tomuto útoku, protože si uvědomoval, kam by mohla vést válka s nepřítelem, který má tak velký ekonomický potenciál.",0
Jan Farský byl buletinem Final Word zvolen Osobností roku 2014.,0
"Emmanuel Lévinas (12. ledna 1906, Kaunas (Litva) – 24. prosince 1995, Paříž) byl významný a velmi originální francouzsko-židovský filosof.",1
"Když stál biskup Gorazd v roce 1921 u zrodu České pravoslavné církev, začal společně s církevními představiteli hledat vhodný existující, avšak nevyužívaný kostel pro svou katedrálu.",0
Himmlerova osobnost dokonale vyjadřovala všechny kontroverze nacionálního socialismu.,0
"Humphrey DeForest Bogart (25. prosince 1899, New York, USA – 14. ledna 1957, San Francisco, Kalifornie, USA) byl americký filmový a divadelní herec.",0
"a bude vždycky, otázkou je jenom, jak je ten trh rozvinutý a jaké výsledky z toho hospodaření plynou pro lidi.",0
"Národní umělec Miloš Nedbal (28. května 1906 Rožmitál pod Třemšínem – 31. října 1982 Praha) byl český herec a divadelní pedagog, režisér, dlouholetý profesor činoherního herectví na pražské DAMU.",0
Jiřina Prekopová ( 14. října 1929 Prostějov; publikuje též pod jménem Jirina Prekop) je česká dětská psycholožka a autorka populárně naučné literatury z oblasti dětské psychologie a výchovy.,0
"K nedávné editaci „Martina Urbance“ - mně pravidlo tří revertů brání v adekvátním zásahu, ale upozornil bych na to, že podle Jak uživatel, který do článku šablonu vloží, tak uživatel, který z článku tuto šablonu odstraní, je povinen na diskusní stránce článku tento krok co nejdříve zdůvodnit pomocí co nejkonkrétnějších výhrad, založených na pravidlech Wikipedie.",0
"Interiérové bezfalcové dveře (neboli bezpolodrážkové dveře) jsou velice efektním designovým prvkem v interiéru, kdy je křídlo kompletně vsazeno do obložkové zárubně se skrytými a pohledově neviditelnými závěsy (panty).",1
"Dívka je zdrobnělina výrazu děvka označujícího prvotně "" sloužící na vsi "", později promiskuitní ženu či prostitutku.",0
"Carl Zuckmayer (27. prosinec 1896, Nackenheim, Porýní-Falc – 18. leden 1977, Visp, Valais) byl významný německý dramatik, spisovatel.",1
Byla jedinou ženou popravenou během těchto nespravedlivých procesů.,1
Silnice I/50 je česká silnice I. třídy vedoucí Jihomoravským a Zlínským krajem.,0
"Filippo Brunelleschi (1377 – 15.dubna 1446 Florencie) byl významný italský architekt, který je považován za průkopníka nového, renesančního architektonického stylu.",1
"Mezi její vůbec nejznámější díla patří třináctidílný televizní seriál pro děti Kamarádi z prostředí pražské Malé Strany, kde svoji první velkou filmovou roli ztvárnil populární herec, zpěvák a moderátor Marek Eben.",1
"Michail Bogdanovič Barclay de Tolly (; Pamūšis, Kuronské a zemgalské vévodství, dnes Litva – Insterburg, Východní Prusko) byl ruský generál, který v době napoleonských válek zmodernizoval carskou armádu a zrealizoval ve své době kontroverzní strategii, která při Vlastenecké válce v roce 1812 nesporně přispěla k porážce Napoleonovy půlmilionové armády.",0
"Christiaan Neethling Barnard (8. listopadu 1922 – 2. září 2001) byl jihoafrický chirurg, který jako první provedl úspěšnou transplantaci srdce.",0
"2006 Jan Čulík prohlásil , že ukončil na základě údajného střetu zájmů spolupráci s publicistou a spisovatelem Sklenářem.",1
Jiří Všetečka (12. října 1937 Praha – 9. listopadu 2016) byl český fotograf tvořící od roku 1958.,0
