sentence,label
"Rusko tvrdí, že z Ukrajiny prchají tisíce lidí",0
"Rusko tvrdí, že z Ukrajiny do Ruska odešlo již 143 000 Ukrajinců.",0
"Tisíce Ukrajinců prchají přes hranice do Ruska, protože proruské síly vzdorují nové prozatímní vládě a konflikt hrozí eskalací, tvrdí ruští představitelé.",0
"Podle pohraničních služeb od začátku událostí na Ukrajině opustilo Ukrajinu a vydalo se do Ruska již 143 000 lidí,"" uvedl v sobotu v televizním projevu místopředseda Senátu Jevgenij Bušmin, když horní komora parlamentu hlasovala o schválení vojenského zásahu.",0
Vedoucí oddělení občanství Federální migrační služby Valentina Kazaková toto číslo potvrdila novinářům.,0
"Tragické události na Ukrajině prudce zvýšily počet žádostí na regionálních migračních úřadech,"" uvedla Kazaková, kterou citovala agentura ITAR-TASS.",0
Za poslední dva únorové týdny podalo žádost přibližně 143 000 lidí.,0
To vytváří velký tlak na regiony sousedící s Ukrajinou.,0
"Lidé jsou zmatení, vystrašení a sklíčení,"" dodala.",0
"Dodala, že o občanství žádají ve větším počtu než obvykle také Ukrajinci, kteří již v Rusku žijí.",0
"Gubernátoři tří z pěti ruských regionů sousedících s Ukrajinou sdělili agentuře ITAR-TASS, že přes hranici přicházejí tisíce lidí.",0
"Gubernátor Brjanské oblasti Nikolaj Denin řekl agentuře ITAR-TASS, že zaznamenal ""příliv ukrajinských občanů, kteří chtějí zůstat v Rusku, dokud se situace v jejich zemi neznormalizuje.",0
"Gubernátor Rostovské oblasti Vasilij Golubev uvedl, že rovněž zaznamenal ""značný příliv ukrajinských občanů.",0
"Gubernátor Belgorodské oblasti Jevgenij Savčenko uvedl, že ""do Belgorodské oblasti přicházejí tisíce dobrých lidí nejen z jihovýchodní Ukrajiny, ale i z její centrální oblasti, kteří utíkají před bezprávím povstalců, kteří se chopili moci v Kyjevě.",0
"Ukrajina má asi 46 milionů obyvatel, zatímco Krym, kde prokremelská domobrana převzala kontrolu, má asi dva miliony obyvatel.",0
Arménie doufá v ukrajinský mír po smrtících střetech v Kyjevě,0
"Arménie lituje poslední vlny násilí na Ukrajině, která si vyžádala desítky obětí, uvedl ve středu mluvčí ministerstva zahraničí.",0
"Tigran Balajan v komentáři pro státní tiskovou agenturu Armenpress hovořil o postoji Jerevanu k událostem v Kyjevě, kde v důsledku střetů mezi protivládními demonstranty a bezpečnostními silami zahynulo nejméně 26 lidí a stovky byly zraněny.",0
"""Hluboce litujeme desítek obětí v důsledku střetů v Kyjevě.",0
Ukrajina je pro Arménii přátelskou zemí.,0
"Doufáme, že strany obnoví rozhovory s cílem dosáhnout mírového řešení sporných otázek,"" uvedl mluvčí ministerstva zahraničí.",0
Dynamo se na Kypru utká s Valencií,0
"Úvodní zápas 32. kola Evropské ligy UEFA mezi FC Dynamo Kyjev a Valencií CF se bude hrát v kyperské Nikósii, a to kvůli bezpečnostní situaci v ukrajinské metropoli.",0
"UEFA se rozhodla změnit místo konání zápasu Evropské ligy UEFA mezi FC Dynamo Kyjev a Valencia CF, který se měl odehrát ve čtvrtek 20. února na stadionu NSK Olimpiyskyi v Kyjevě, kvůli bezpečnostní situaci v ukrajinském hlavním městě.",0
Zápas prvního kola 32. předkola se nyní bude hrát na stadionu GSP v kyperské Nikósii ve čtvrtek 20. února od 20.00 místního času (19.00 SEČ).,0
Ukrajinský vůdce Janukovyč je ochoten uspořádat předčasné volby: Polský premiér je ochoten vyjádřit ochotu,1
"Varšava (AFP) - Ukrajinský prezident Viktor Janukovyč řekl vyslancům EU, že je ochoten uspořádat v letošním roce předčasné volby, uvedl ve čtvrtek polský premiér Donald Tusk poté, co si střety mezi protivládními demonstranty a policií v Kyjevě vyžádaly desítky mrtvých.",1
"Ministři zahraničí Francie, Německa a Polska ve čtvrtek jednali s Janukovyčem o dokumentu, který ""možná nabízí určitou naději na přerušení řetězce násilí"", řekl Tusk novinářům ve Varšavě.",1
"S Janukovyčem bylo mimo jiné dohodnuto, že existuje ochota uspořádat v letošním roce předčasné volby, a to jak prezidentské, tak parlamentní,"" uvedl Tusk k jednání s francouzským ministrem Laurentem Fabiusem, německým ministrem Frankem-Walterem Steinmeierem a polským ministrem Radoslawem Sikorskim.",1
"Tusk dodal, že Janukovyč je ochoten sestavit vládu národní jednoty v příštích 10 dnech a do léta změnit ústavu.",1
"Vyslanci vedli několikahodinové rozhovory s Janukovyčem a se třemi hlavními vůdci opozice v Kyjevě, neboť Evropská unie se ve čtvrtek dohodla na uvalení zákazu cestování a zmrazení majetku na Ukrajince považované za odpovědné za porušování lidských práv, násilí a nadměrné použití síly.",1
"Sikorski ve čtvrtek pozdě večer po jednání s opozicí na Twitteru uvedl: ""na cestě zpět k prezidentovi, aby pomohl při vyjednávání.",1
"Bylo dosaženo pokroku, ale důležité rozdíly přetrvávají."" Tusk vyzval Poláky, aby vyjádřili solidaritu se sousední Ukrajinou tím, že v pátek večer zapálí v oknech po celé zemi svíčky na počest těch, kteří v Kyjevě zahynuli.",1
"Mezitím se německá kancléřka Angela Merkelová a americký prezident Barack Obama ve čtvrtek připojili k výzvě ruského prezidenta Vladimira Putina k naléhavému politickému řešení smrtící krize, která svírá Ukrajinu.",1
"Kancléřka a prezidenti se dohodli, že vyzvou k co nejrychlejšímu politickému řešení krize na Ukrajině a k ukončení krvavé lázně,"" uvedla německá vláda v prohlášení zveřejněném po telefonátu mezi západními lídry a Putinem, kteří jsou v otázce budoucnosti Ukrajiny v rozporu.",1
Nepokoje na Ukrajině původně zažehlo Janukovyčovo listopadové šokující rozhodnutí vypovědět historickou dohodu o obchodním a politickém přidružení k EU ve prospěch užších vazeb s Ruskem.,1
"Policie sleduje lidi, kteří kladou květiny k pomníku Tarase Ševčenka (foto)",1
Policisté si zapisovali jejich jména a údaje z pasů. ,1
Itálie si předvolala ukrajinského velvyslance v Římě,1
"(ANSA) - Řím, 24. ledna - Itálie si v pátek vyžádala mimořádnou schůzku s ukrajinským velvyslancem v Římě, aby vyjádřila ""znepokojení"" nad eskalací protestů na Ukrajině.",1
Schůzku svolala italská ministryně zahraničí Emma Bonino.,1
"Dříve v pátek se protesty rozšířily poté, co jednání mezi prezidentem Viktorem Janukovyčem a opozicí uvázla na mrtvém bodě.",1
V západoukrajinském městě Ivano-Frankivsk aktivisté obsadili úřad regionální vlády a údajně vtrhli na další úřad v Černivcích.,1
Demonstrace vyvolalo listopadové rozhodnutí Ukrajiny na poslední chvíli odvolat navrhovanou dohodu o volném obchodu s Evropskou unií.,1
"Situace se vyostřila tento týden, kdy byla hlášena první z několika obětí krize.",1
"Polsko doporučuje ""obezřetný společný postup"" proti ukrajinským úřadům",0
"Premiér Donald Tusk uvedl, že při rozhovoru s předsedou Evropské komise bude prosazovat ""zodpovědné"" použití sankcí proti Ukrajině poté, co byli v Kyjevě při násilných střetech s policií zabiti tři lidé.",0
"Polsko doporučuje ""obezřetný společný postup"" proti ukrajinským orgánům",0
