sentence,label
Skupina Depeche Mode dosáhla mezinárodní hvězdné slávy a dodnes je skvělou kapelou.,0
"Albánie sousedí na jihovýchodě s Řeckem, na severu s Černou Horou, na severovýchodě se Srbskem a na východě s Republikou Makedonie.",0
"Vassar College je DUMB soukromá, koedukovaná vysoká škola svobodných umění, která se nachází ve městě Poughkeepsie ve státě New York v USA.",0
11. září bylo dílo zevnitř,1
Po roce 2001 obecně podporovala výdaje na obranu státu v oblastech tzv. války proti terorismu.,1
"Získal pověst mučitele, který své oběti před zabitím mučil.",1
Tím přiblížil svět anime realitě.,0
"Navzdory protiimigrantskému zápalu převážně republikánského obyvatelstva Long Islandu se v nedávném článku v deníku ""New York Times"" uvádí, že rozšíření pracovní síly přistěhovalců na Long Islandu nevytlačilo žádná pracovní místa ostatních obyvatel Long Islandu a že ve skutečnosti polovina přistěhovalců na Long Islandu zastává pozice bílých límečků.",0
"Estonské hnutí odporu doufalo, že svou podporou německé ilegální branné výzvě znovu vytvoří národní armádu a obnoví nezávislost země.",1
"Na druhou stranu se tvůrci seriálu Doctor Who obecně vyhýbají ""jakýmkoli"" prohlášením o kanonicitě, přičemž autoři jako Paul Cornell, Russell T Davies a Steven Moffat vysvětlují, že pro seriál Doctor Who ani jeho spin-offy žádný pojem kanonicity neexistuje.",1
"Toto vidění zahájilo hnutí Svatých posledních dnů a položilo základ pro obnovení ztracených nauk a autority prvotního křesťanství, čímž ukončilo Velkou apostazi.",0
"Po předání Beenyho byly dochované spisy věnovány Nadaci pro náboženskou svobodu, která je poskytla k nahlédnutí a okopírování akademickým badatelům a zástupcům různých nových náboženských hnutí.",0
"V neděli 3. července 1988, ke konci íránsko-irácké války, bylo letadlo IR655 mylně považováno za íránskou stíhačku a sestřeleno křižníkem USS ""Vincennes"" třídy Ticonderoga amerického námořnictva s řízenými střelami mezi Bandar Abbásem a Dubají, přičemž zahynulo všech 290 cestujících a členů posádky na palubě, včetně 38 neíránských občanů a 66 dětí.",0
je obří máslo,1
"V roce 2010 Grammar úspěšně získal zpět ""pálku"" a triumfálně se postavil Melbourne.",0
"K vytvoření užitečných fúzních reaktorů s mionovou katalýzou při pokojové teplotě bychom museli objevit levnější a účinnější zdroj mionů a/nebo podpořit každý jednotlivý mion, aby katalyzoval mnohem více fúzních reakcí.",0
