sentence,label
"Podle plukovníka se od začátku roku na tádžicko-afghánské hranici ztratilo přibližně 3 600 kilogramů drog, včetně více než tuny heroinu.",0
"Dušanbe, 21. července: Hlídka ruských pohraničníků objevila v pátek [20. července] na úseku tádžicko-afghánské hranice, který spadá pod moskevský pohraniční oddíl, dva pytle naplněné drogami.",0
Ruští strážci zadrželi na tádžicko-afghánské hranici 87 kg heroinu,0
"Odborná expertiza ukázala, že pytle obsahovaly 86,9 kg čistého heroinu, sdělil v sobotu agentuře ITAR-TASS vedoucí tiskové služby ruských pohraničních vojsk v Tádžikistánu plukovník Alexandr Kondratěv.",0
"Během roku 2000 pohraničníci zabavili 2 950 kilogramů drog, z toho 670 kilogramů heroinu, poznamenal Kondratěv.",0
"V zahraničním tisku se objevují zprávy, které si utahují ze Spojených států a Izraele: ""jedno tělo se dvěma hlavami"", ""Izrael je rozmazlený spratek Spojených států"" nebo ""Izrael je jedním ze států USA"".",1
"V této situaci zahájila ""Rada pro mír a bezpečnost"", organizovaná vysloužilými izraelskými vojenskými důstojníky a bývalými vysokými představiteli bezpečnostních agentur, hnutí vyzývající k jednostrannému stažení izraelských vojsk z oblastí Západního břehu Jordánu a pásma Gazy.",1
"Izraelští sionisté, kteří spoléhají na podporu a ochranu poskytovanou Spojenými státy, však nadále brání takovému řešení a nadále zvyšují napětí v regionu.",1
Vzhledem k vyostření izraelsko-palestinských ozbrojených konfliktů v posledním období neuplyne jediný den v míru a bez prolévání krve Palestinců v oblastech Západního břehu Jordánu a pásma Gazy.,1
"Za nájezdy a krutým útlakem, který dnes Izrael vůči Palestincům provádí, stojí skutečnost, že jej Spojené státy podporují a chrání.",1
"Spravedlnost a mír milující národy světa jednomyslně požadují spravedlivé a mírové urovnání situace na Blízkém východě, k němuž by mělo dojít co nejdříve.",1
"Osmdesát procent členů ""Rady pro mír a bezpečnost"", kterou tvoří vysloužilí vojenští důstojníci a bývalí vysocí úředníci izraelské zahraniční rozvědky Mossad a domácí rozvědky Šin Bet, požaduje, aby Izrael zrušil židovské ""osady"" na Západním břehu Jordánu a v pásmu Gazy, kterých je přibližně 50; aby jednostranně stáhl své vojáky z mnoha dobrých oblastí, které okupuje; a aby urychleně obnovil mírová jednání s Palestinci.",1
"Typickým příkladem jsou akty agrese a brutální zvěrstva páchaná izraelskými jednotkami na Západním břehu Jordánu a v pásmu Gazy, které jsou pod kontrolou Palestinské samosprávy.",1
Izraelské síly zároveň zaútočily na město Rafáh na jihu Gazy.,0
"Izraelské noviny, které se dříve zdržovaly Šaronovy kritiky, na něj zaútočily sžíravou kritikou, například že ""není ochoten přijmout jinou možnost než tvrdou vojenskou linii, která je obětí životů izraelských i palestinských mužů na ulici"".",1
"Podle zpráv izraelské tanky uprostřed noci na 20. února zaútočily na východní část města Gazy, kde se nacházejí klíčová zařízení palestinské samosprávy, a mimo jiné ostřelovaly a ničily palestinské vysílací středisko.",0
Blízkovýchodní problém je v podstatě otázkou obnovení národních práv Palestinců a navrácení odňaté arabské půdy izraelským agresorům.,1
"Přesto Šaron odmítá změnit svůj tvrdý postoj a tvrdí, že ""tuto válku musíme vyhrát"".",1
V důsledku toho bylo podle zpráv zahraničního tisku zabito l4 Palestinců.,0
"Pro komplexní spravedlivé řešení této otázky je především nutné, aby bylo Palestincům zaručeno právo na sebeurčení, aby byl realizován vznik nezávislého palestinského státu a aby se izraelští agresoři stáhli ze všech arabských území, která nelegálně okupují, včetně Golanských výšin.",1
"Spojené státy, ačkoli každoročně předávají Izraeli miliardy dolarů ve smrtících zbraních, stojí při řešení situace na Blízkém východě na straně Izraele.",1
"Avšak místo toho, aby se z arabské země, kterou násilím okupují, stáhli, lstiví izraelští agresoři, snící o vytvoření ""velkého izraelského impéria"", plánují, jak z ní učinit svou zemi natrvalo.",1
V důsledku toho byli údajně zabiti nejméně čtyři Palestinci a více než 30 jich bylo zraněno.,0
"V oblastech, které okupují, nadále rozdmýchávají nepokoje, čímž situaci dále komplikují.",1
Již dříve Izrael zahájil tvrdé útoky na palestinské cíle v pásmu Gazy a v oblastech Západního břehu Jordánu.,0
Ve stejný den izraelská armáda zablokovala hlavní dálnice spojující palestinská města v oblasti Západního břehu Jordánu a silnice spojující tato města se sousedními vesnicemi.,0
"Blízkovýchodní urovnání stále zůstává jedním z mezinárodních problémů, které dnes přitahují pozornost celého světa.",0
"Podle komentářů zahraničního tisku bude mít v budoucnu na situaci pravděpodobně velký vliv skutečnost, že v Izraeli jsou vůči Šaronovi stále kritičtější bývalí vysocí představitelé armády a orgánů činných v trestním řízení a zpravodajských služeb.",1
"Velký vůdce soudruh Kim Ir-sen učil: \""Pro mírové a spravedlivé řešení palestinské otázky a otázky Blízkého východu by se izraelští agresoři měli stáhnout ze všech arabských zemí, které okupují, a palestinskému lidu by mělo být plně zaručeno právo na sebeurčení.""",1
"Od noci 20. února do úsvitu následujícího dne zasáhly izraelské stíhačky F-16 a vrtulníky objekt ""(POS)-17"" prezidentské bezpečnostní stráže, který sousedí s budovou, v níž sídlí ředitelství palestinské samosprávy, a navíc i s palestinskou autonomní policejní stanicí ve městě Džanin na Západním břehu Jordánu.",0
"Izrael a Spojené státy by měly nést patřičnou odpovědnost za každodenní zhoršování situace na Blízkém východě a přestat se svými kroky, které brání spravedlivému urovnání situace na Blízkém východě.",1
"Jak je vidět z tohoto a dalších událostí, kritika tvrdé vojenské politiky premiéra Šarona vůči Palestincům uvnitř Izraele sílí.",1
"Tým z Rady ministrů organizace naopak považoval hlasování za ""pravdivý odraz"" vůle lidu.",1
"SADC v sobotu hlasování podpořilo, a to navzdory svému Parlamentnímu fóru, které soudí, že volby z 9. až 11. března ""neodpovídaly normám a standardům Parlamentního fóra SADC"", k němuž se Zimbabwe přihlásilo.",1
"Několik dalších hlav států do soboty oznámilo, že se voleb zúčastní, včetně Benjamina Nkapy z Tanzanie a Bakiliho Muluziho z Malawi, který je v současnosti rovněž prezidentem SADC.",0
"Mbeki se však již nechal slyšet, že Společenství národů musí zvážit i jiné otázky.",0
"Jejich rozhodnutí bude vycházet ze zprávy pozorovatelského týmu Commonwealthu o legitimitě voleb, jakož i ze zpráv vypracovaných Jihoafrickým rozvojovým společenstvím, Organizací africké jednoty a pozorovatelskou misí SA.",0
