sentence,label
"Dan Johnson sebevražda: Zákonodárce obviněný z obtěžování mladistvých spáchal sebevraždu. Vdova po něm to nazývá ""high-tech lynčováním"".",1
LOUISVILLE - Dan Johnson ve středu odpoledne zveřejnil na Facebooku poslední vzkaz svým přátelům a rodině.,0
"Zdálo se, že je to rozloučení.",1
"Popřel v něm obvinění, které jeho a jeho rodinu trápilo posledních 48 hodin - že se on, zástupce státu Kentucky a samozvaný ""papež"" své církve v Louisville, opil a obtěžoval sedmnáctiletou dívku během večírku.",1
"""BŮH zná pravdu, nic není takové, jak se tváří,"" napsal v mezitím smazaném příspěvku.",0
"""Už to dál nezvládám .",0
"ALE NEBE JE MŮJ DOMOV.""",0
"Johnson poté odjel na graffiti pokrytý most u Mount Washingtonu v Kyjevě, na klidné a izolované místo zvané River Bottoms.",0
"Podle šerifa okresu Bullitt Donnieho Tinnella zaparkoval, vystoupil z auta a zastřelil se pistolí ráže .40. Na místě se mu podařilo zničit auto, které se nacházelo na okraji města.",0
"Zjevná sebevražda známého místního republikána zde byla dalším temným a dramatickým zvratem v nedávném národním zúčtování se sexuálními útoky a obtěžováním, kdy téměř každodenní odhalení o vlivných mužích vedla k náhlým pádům z pozic o",1
"Mnohé z těchto případů vedly k popření, rezignaci, omluvě; ačkoli Johnson obvinění popíral, někteří se domnívají, že ho posunula za hranu.",0
" Johnsonova manželka Rebecca ve čtvrtek oznámila, že ho hodlá ve státním parlamentu nahradit.",0
" Celý den strávila v pohřebním ústavu, kde zařizovala manželův pohřeb, utěšovala příbuzné a pokračovala v tom, co jí jde nejlépe - bojovala za svou rodinu, řekl David Adams, rodinný přítel a mluvčí.",1
" ""Dan je pryč, ale příběh jeho života zdaleka nekončí,"" řekla Rebecca Johnsonová prostřednictvím Adamse.",0
" ""Nelze připustit, aby tyto high-tech lynče založené na lžích a polopravdách zvítězily.",1
" Bojovala jsem za svého manžela 30 let a jeho boj bude pokračovat.""",1
" Johnsonova smrt otřásla jeho rodinou, přáteli, voliči i členy jeho církve a politická elita Kentucky okamžitě vyjádřila svůj smutek.",1
 Na konferenci se zúčastnil i guvernér státu Kentucky dr.,0
" Matt Bevin (R) napsal na Twitteru: Rand Paul (R-Ky.) na Twitteru uvedl: ""Mé srdce je zlomené pro jeho rodinu Kéž Bůh skutečně prolije svou milost na nás všechny."" Senátor Rand Paul (R-Ky.) na Twitteru uvedl: ""Bůh nám skutečně prolije svou milost: ""Nedokážu si představit jeho bolest ani zlomené srdce, s nímž se jeho rodina potýká.""",1
" [Bílý dům vyzývá Roye Moora, aby se přiznal, zatímco jeho příznivci hledají důkazy o ""podvodu na voličích""].",1
" Rozruch začal v pondělí, kdy Kentucké centrum pro investigativní zpravodajství zveřejnilo obvinění, že Johnson v roce 2013 během přespání sexuálně napadl kamarádku své dcery.",1
Kentucký zákonodárce Dan Johnson spáchal sebevraždu po obvinění ze sexuálního napadení.,1
"(CNN) Zákonodárce z Kentucky obviněný ze sexuálního napadení dospívající dívky v roce 2013 se podle úřadů ve středu zabil, den poté, co obvinění popřel.",1
"Republikánský poslanec Dan Johnson byl nalezen mrtvý s jediným střelným zraněním poblíž Mount Washington, uvedl koroner okresu Bullitt Dave Billings.",1
"Johnson přijel na most ve venkovské oblasti jihovýchodně od Louisville, zaparkoval a zastřelil se před svým autem, řekl šerif Donnie Tinnell pobočce CNN WDRB.",0
"Billings ve čtvrtek po pitvě Johnsonovu smrt označil za sebevraždu, uvedl zástupce koronera Clayton Brunson.",1
"Krátce před smrtí Johnson na sociálních sítích zveřejnil nesouvislý vzkaz, v němž popřel obvinění ze sexuálního napadení a vyzval rodinu, aby zůstala silná kvůli jeho ženě.",1
"Příbuzní se po zhlédnutí příspěvku začali obávat a obrátili se na orgány činné v trestním řízení, které podle Billingse prověřily Johnsonův telefon a později objevily jeho tělo.",0
"Billings uvedl, že byl na místo zavolán kolem půl osmé večer.",0
"Úřady objevily Johnsonovo tělo před jeho nákladním autem a poblíž poloautomatickou pistoli ráže 40, řekl.",1
