sentence,label
díky za odpověď--michal dlouhý 16.,0
"jejich argumenty obsahují tvrzení, že víceletá gymnázia jednak odvádějí nadané žáky druhých stupňů základních škol a snižují tak kvalitu a společenské hodnocení této formy vzdělání.",0
"sám mun jednou vysvětlil, že 'moon' znamaná 'pravda', 'sun' znamená 'vyjevit se jasně' a 'myung' kombinuje znaky pro 'sun' a 'moon'.",0
"2015, 18:53 (cest)",0
"2015, 16:11 (cet)",0
střetl se s publiem corneliem scipionem (celym jménem publius cornelius scipio aemilianus africanus numantinus mladší).,0
jako publicista aktivně bojuje proti socialismu a v jeho článcích se objevují i první náznaky antisemitismu .,0
"v přepočtu na jeden milion obyvatel bylo ke dni 30. dubna 2020 ve španělsku 517 mrtvých, v itálii 453, ve francii 353 a ve spojeném království 325. naproti tomu, slovensko zaznamenalo 4, polsko 16, česko 21 a rakousko 65 koronavirových úmrtí na milion obyvatel.",0
"miloš vávra, občanským jménem miloslav vávra, (1. ledna 1894 – 21. srpna 1964) byl český amatérský herec, civilním povoláním lékař.",0
"tyto rozdíly se začaly, zejména po druhé světové válce, stírat, některé krajové zvláštnosti se však dosud udržují.",0
"požadovalo, aby vydalo alikvotní podíl čs.",0
"jeden z účastníků, tzv.",0
"do jeho stěn jsou zasazeny desky, do kterých jsou vyryty názvy míst husitských vítězství.",0
b odst.,0
za úlohu rony v gombárových vlasech (v bratislavské inscenaci) získala prestižní cenu literárního fondu.,0
"schindler levně získal továrnu v krakově, kterou pojmenoval deutsche emaillewaren-fabrik.",0
"tak to se možná nikdy nestane, že by emirát získal mezinárodní uznání.",0
citovaný odstavec na mě proto působí jako argumentační klam.,0
získala cenu alfréda radoka v kategorii hra roku.,0
webová stránka booking.com je k dispozici ve 42 jazykových verzích (jedna z nich je i čeština) a nabízí 1 189 212 aktivních možností ubytování v 226 zemích a teritoriích.,0
"v roce 1980 se stal členem komunistické strany československa (ksč), v témže roce ho státní bezpečnost (stb) začala evidovat jako svého důvěrníka, a od roku 1982 jako agenta s krycím jménem „bureš“.",0
89.176.26.153 29.,0
