sentence,label
"""My"" zemřel přirozenou smrtí ve věku osmi let v červnu 2007, nedlouho poté, co ho společnost získala.",0
"``My´´ zemřel přirozenou smrtí ve věku osmi let v červnu 2007 , nedlouho poté, co jej získala společnost Nutra Pharma .",0
Evoluce je zdrojem obrovské rozmanitosti existujícího i zaniklého života na Zemi .,1
Evoluce může být zdrojem obrovské rozmanitosti dochovaného i vymřelého života na Zemi .,0
"Úvěrové informace, jako jsou předchozí úvěrové výsledky osob, jsou mocným nástrojem k předvídání jejich budoucího chování .",1
"Úvěrové informace, jako je předchozí výkonnost osob při poskytování úvěrů, jsou mocným nástrojem k předvídání jejich budoucího chování .",0
"Phil Wilayto , bývalý koordinátor kampaně A Job is a Right v Milwaukee a spolupracovník MediaTransparency , progresivního webu, který sleduje financování pravicové politiky , píše :",1
"Phil Wilayto , bývalý koordinátor kampaně A Job is a Right v Milwaukee a přispěvatel MediaTransparency , levicového webu, který sleduje financování pravicové politiky, píše :",0
"Většina Mellenových knih je v angličtině, mnoho jich je také ve francouzštině, němčině, španělštině, ruštině a dalších jazycích.",1
"Většina Mellenových knih je v angličtině ; některé jsou ve francouzštině , němčině , španělštině , ruštině a dalších jazycích .",0
"Je to vzdálený příbuzný medovníku , pálenky z medu oblíbené ve všech slovanských zemích .",0
"Je to vzdálený příbuzný medovníku , medového destilátu oblíbeného ve všech slovanských zemích, kde je rozšířena pomoc .",0
Klade si takové otázky jako : Jak by se měli muži chovat ve společnosti ?,1
Klade si takové otázky jako : Jak by měli lidé jednat ve společnosti ?,0
"Kontrolka slotu pro disk se krátce rozsvítí, když je konzole zapnutá a když je zapnutý WiiConnect 24 a přijímáte nová data , například zprávy , a když jste v nastavení ``Světlo '' nebo ``Stmívání '' pro WiiConnect24 vybrali možnost ``Světlo slotu '' .",0
"Kontrolka slotu pro disk se krátce rozsvítí, když je konzole zapnutá a když je zapnutý WiiConnect 24 a když přijímáte nová data , například zprávy , a v nastavení `` Slot Illumination'' pro WiiConnect24 jste vybrali `` Bright'' nebo `` Dim'' .",0
V roce 1953 Nehrúova vláda ustoupila silnému tlaku severních telugsky mluvících okresů státu Madras a umožnila jim hlasovat o vytvoření prvního indického jazykového státu .,1
V roce 1953 Nehrúova vláda ustoupila silnému tlaku severních telugsky mluvících okresů státu Madras a umožnila jim hlasovat o vytvoření prvního indického jazykového státu.,0
Poznámka : Téměř všechna výše uvedená zajímavá místa se nacházejí v okruhu 5 až 60 minut jízdy od naší vesnice .,0
Téměř každé výše uvedené zajímavé místo je vzdáleno 5 - 50 minut jízdy od Duncormicku .,0
Kulturní válka ( nebo kulturní války ) v americkém užití je údajný politický konflikt založený na rozdílných idealizovaných kulturních hodnotách .,1
Kulturní válka ( nebo kulturní války ) v americkém užití je politický konflikt založený na rozdílných idealizovaných kulturních hodnotách .,0
"Od roku 1985 Starostin vyvíjel STARLING , což je nejpokročilejší lingvistický software na pracovišti.",1
"Od roku 1985 Starostin vyvíjel STARLING , což je lingvistický software pro pracoviště.",0
"Propagují falešný názor, že evoluce je teorie v krizi.",1
"Prosazují své menšinové vnímání, že evoluce je teorie v krizi.",0
