text,labels
He designed monumental Lovissa War Cemetery in 1920.,2
She participated in the FIVB volleyball grand champions cup in 2001.,1
Correct ! Walter Havighurst was an author of many books. He loved the book Annie Oakley of the Wild West.,2
"Yes, she released only one album with them, ""wołanie o słońce nad światem""",1
i played a lot with my male friends,2
"I am doing great, what about her?",1
"Cool. In April 1940, the captain of the ""Seawolf"" sank the German merchant ""Hamm"".",2
I'm Nike; I just gave a gift to a twin named Isabel.  What's up with you Rasiyah?,1
I enjoy tanning and dancing. I also love spending time with my husband!,1
"Hey Sarah, how about you? What do you do for a living?",1
how do you enjoy the yoga experience,2
collage baseball team is the coolest thing in collage,1
"Hey Monica, he contested it in the state assembly election",1
"Sir, I am Toluwalase, how are you today?",2
"Yes, you know a lot about her I guess.",1
Wow so you're a bookworm then.,1
"No, I didn't know that. I Knew he played at Scotland and won a cup",2
Hey can you tell me about that guy fáelán mac murchado?,2
i will love to be a music teacher after my retirement if John doesn't have plans for us.,2
Ooh why? Are you not studying enough? Are you spending too much time thinking about boys?,1
Oh yeah? I care for a black and white tabby named cow. I got it from Christopher.,2
what do you do for fun dude?,2
"Yes, that man did that back in 1923. He started his apprenticeship in 1921.",2
so he was so influential to say the least. where did you read about him?,2
"Hey! My name is Naviel, how are you today? Have you seen Jerry?",2
most people called John are usually called torrence the titan,2
How are you doing Dervin? you look beautiful. ,1
"my favorite movies are action movies, you?",2
"that's awesome. have you heard of kate mullany, i can really relate to her",1
is she also into poetry?,1
"Hello Ardin, I am Tierny. Did you get his message?",2
No. Please tell me about her.,1
Yes I play baseball with my friend on the men's team. Do you?,2
"Hi, I'm Sir Wallis, how are you today man?",2
I have trained him to listen to basic commands but it's not working anymore.,2
"yes, it looks like she was defeated by Rene Canuel of the bloc Quebecois.",1
but a little bit cool compare with the rst ,1
that's an awesome name. Me and the bows work as police officers in Detroit.,2
"yes, he died on 28th of march 2012, at 34 years of age.",2
good to know. do you know patrick tolhoek?,1
Can we stick to the task?,2
I love the mermaids too. They are amazing creature.Guess you feel same way too,2
"You enjoy golfing too, sounds like we have something in common, so do our mothers",2
no i don't know her,1
"she didn't forget either  , she knew",1
"i am good. how about you, Courtney?",1
"same here, do you like pink cars?",1
That's awesome!  We need more teachers like him.,2
So she was influential if to say. Where did you read about her?,1
"No, i didn't know that. I just knew she played at Scotland and won a cup.",1
do you know the wife of frank surman,1
do not mention. do you have cars for ladies? i have 3 ferrari ,1
his favourite indoor game is table tennis,2
"I love all kinds of music, what kind of music do you love? Ballads? ",1
"that is great, that man must be a powerful person.",2
