Step	Training Loss	Validation Loss	F1
100	0.496700	0.345538	0.851802
200	0.359100	0.328119	0.866947
300	0.324800	0.290752	0.879111
400	0.294200	0.292373	0.879446
500	0.299300	0.277847	0.881618
600	0.261300	0.275308	0.890930
700	0.228900	0.272307	0.891075
800	0.232100	0.265355	0.892566
900	0.216500	0.274463	0.885379
1000	0.218800	0.266507	0.895809
1100	0.221800	0.262229	0.894282
1200	0.176100	0.273880	0.895189
1300	0.176400	0.271043	0.892554
1400	0.171300	0.272896	0.896842
1500	0.176400	0.271686	0.898530
1600	0.158200	0.272930	0.897305
