{'batch_size': 16, 'epochs': 2, 'learning_rate': 2e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7802564102564102
{'batch_size': 16, 'epochs': 2, 'learning_rate': 3e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7841020512820510
{'batch_size': 16, 'epochs': 2, 'learning_rate': 5e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7776938461538462
{'batch_size': 16, 'epochs': 3, 'learning_rate': 2e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7741774358974359
{'batch_size': 16, 'epochs': 3, 'learning_rate': 3e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7760933333333332
{'batch_size': 16, 'epochs': 3, 'learning_rate': 5e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7757784615384616
{'batch_size': 16, 'epochs': 4, 'learning_rate': 2e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7793000000000000
{'batch_size': 16, 'epochs': 4, 'learning_rate': 3e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7703312820512821
{'batch_size': 16, 'epochs': 4, 'learning_rate': 5e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7693692307692308
{'batch_size': 32, 'epochs': 2, 'learning_rate': 2e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7716107692307692
{'batch_size': 32, 'epochs': 2, 'learning_rate': 3e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7757738461538461
{'batch_size': 32, 'epochs': 2, 'learning_rate': 5e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7834641025641027
{'batch_size': 32, 'epochs': 3, 'learning_rate': 2e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7728923076923078
{'batch_size': 32, 'epochs': 3, 'learning_rate': 3e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7706497435897436
{'batch_size': 32, 'epochs': 3, 'learning_rate': 5e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7789769230769231
{'batch_size': 32, 'epochs': 4, 'learning_rate': 2e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7767400000000000
{'batch_size': 32, 'epochs': 4, 'learning_rate': 3e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7709697435897437
{'batch_size': 32, 'epochs': 4, 'learning_rate': 5e-05, 'warmup_steps': 0, 'weight_decay': 0.1} 0.7693753846153846
